datetime,open,high,low,close,volume
2016-08-12,12.28,12.37,12.03,12.2,15464336.0
2016-08-19,12.24,12.5,11.89,12.22,22588348.0
2016-08-26,12.0,12.4,11.96,12.05,16719328.0
2016-09-02,12.07,12.26,11.845,12.23,18303322.0
2016-09-09,12.3,13.08,12.25,12.33,24501329.0
2016-09-16,12.28,12.65,12.22,12.54,24423148.0
2016-09-23,12.59,13.32,12.52,13.26,17892752.0
2016-09-30,13.23,13.27,12.8,12.85,21524880.0
2016-10-07,12.64,12.75,11.58,11.59,43547450.0
2016-10-14,11.48,11.88,11.45,11.57,22231305.0
2016-10-21,11.6,12.255,11.6,12.02,21741765.0
2016-10-28,12.11,12.14,11.59,11.65,18515971.0
2016-11-04,11.7,12.47,11.25,12.11,33868560.0
2016-11-11,12.27,12.475,11.13,11.26,27794941.0
2016-11-18,11.19,11.67,11.08,11.4,25998848.0
2016-11-25,11.4,11.64,11.25,11.63,15698748.0
2016-12-02,11.72,12.01,10.98,11.18,24553952.0
2016-12-09,11.16,11.96,11.07,11.92,23245201.0
2016-12-16,11.88,12.47,11.66,11.75,27194651.0
2016-12-23,11.84,12.1,11.68,11.73,17987649.0
2016-12-30,11.72,11.92,11.59,11.62,9425842.0
2017-01-06,11.67,11.85,11.26,11.82,20773361.0
2017-01-13,11.87,11.9,11.29,11.72,23334489.0
2017-01-20,11.8,12.06,11.35,11.41,18075867.0
2017-01-27,11.42,11.64,11.19,11.4,39763087.0
2017-02-03,11.29,11.625,11.13,11.37,22421401.0
2017-02-10,11.39,11.63,11.23,11.61,18919944.0
2017-02-17,11.64,11.73,11.25,11.46,18665166.0
2017-02-24,11.46,11.93,11.39,11.93,18495774.0
2017-03-03,11.85,12.5,11.1,11.55,40680417.0
2017-03-10,11.48,11.61,11.04,11.15,23764432.0
2017-03-17,11.17,11.47,10.93,11.46,19903870.0
2017-03-24,11.48,11.48,11.1,11.23,17883470.0
2017-03-31,11.26,11.39,11.03,11.18,31570854.0
2017-04-07,11.17,11.32,11.03,11.04,30389247.0
2017-04-14,11.05,11.41,11.01,11.36,28238189.0
2017-04-21,11.38,11.47,11.25,11.38,24644788.0
2017-04-28,11.38,11.69,11.21,11.31,32241444.0
2017-05-05,11.31,11.41,11.045,11.32,21070026.0
2017-05-12,11.08,11.7,10.95,11.33,28508333.0
2017-05-19,11.34,11.51,10.98,11.2,23121790.0
2017-05-26,11.17,11.85,11.15,11.79,23304560.0
2017-06-02,11.76,12.0,11.58,11.91,16256023.0
2017-06-09,11.87,11.995,11.43,11.7,22166828.0
2017-06-16,11.73,12.05,11.65,11.92,22373668.0
2017-06-23,11.93,11.97,11.485,11.56,16195519.0
2017-06-30,11.63,12.33,11.11,11.11,24617162.0
2017-07-07,11.15,11.19,10.6,10.76,17933984.0
2017-07-14,11.0,11.23,10.8,11.03,23776010.0
2017-07-21,11.05,11.44,10.97,11.42,16349837.0
2017-07-28,11.42,11.45,10.96,10.98,21712302.0
2017-08-04,11.04,11.98,10.92,11.08,31538180.0
2017-08-11,11.08,11.66,11.0,11.1,34986998.0
2017-08-18,11.12,11.225,10.94,11.08,17667224.0
2017-08-25,11.1,11.52,11.085,11.43,16683262.0
2017-09-01,11.47,11.49,11.03,11.12,17139489.0
2017-09-08,11.17,11.24,11.01,11.21,11816385.0
2017-09-15,11.23,11.44,11.135,11.2986,20769714.0
2017-09-22,11.36,11.45,11.08,11.11,15886344.0
2017-09-29,11.13,11.28,11.0,11.02,20223648.0
2017-10-06,11.06,11.315,11.02,11.19,13689756.0
2017-10-13,11.09,11.34,11.05,11.25,11895894.0
2017-10-20,11.23,11.31,11.07,11.13,13763835.0
2017-10-27,11.13,11.2,10.69,10.78,22055482.0
2017-11-03,10.79,11.1,10.46,10.5817,29768887.0
2017-11-10,10.6,10.6,10.0,10.23,47365570.0
2017-11-17,10.29,10.97,10.29,10.61,35645421.0
2017-11-24,10.62,10.775,10.51,10.69,11584716.0
2017-12-01,10.74,10.79,10.5,10.67,26470831.0
2017-12-08,10.68,11.0,10.59,10.76,26064740.0
2017-12-15,10.79,11.02,10.5,10.8,34101148.0
2017-12-22,10.78,11.0,10.43,10.71,37601375.0
2017-12-29,10.75,10.875,10.605,10.83,12149884.0
2018-01-05,10.87,10.97,10.78,10.87,19421834.0
2018-01-12,10.9,11.135,10.64,11.04,33573007.0
2018-01-19,11.1,11.95,10.67,11.75,59785676.0
2018-01-26,11.74,11.81,11.06,11.59,60664563.0
2018-02-02,11.59,11.92,11.11,11.1922,54084053.0
2018-02-09,11.1,11.12,9.865,10.2,54395677.0
2018-02-16,10.2,10.61,10.03,10.46,30189132.0
2018-02-23,10.45,10.5673,10.2,10.49,21215063.0
2018-03-02,10.55,11.49,10.23,10.86,55280987.0
2018-03-09,10.9,11.095,10.65,10.85,34193154.0
2018-03-16,10.85,10.91,10.49,10.84,29860291.0
2018-03-23,10.9,11.07,10.63,10.75,28537083.0
2018-03-30,10.76,11.43,10.655,11.37,30183415.0
2018-04-06,11.49,11.57,11.19,11.4,44239598.0
2018-04-13,11.42,11.515,11.25,11.34,17165614.0
2018-04-20,11.41,11.83,11.36,11.6,23218226.0
2018-04-27,11.67,12.45,11.63,12.31,31468375.0
2018-05-04,12.31,12.4,12.05,12.33,27871919.0
2018-05-11,12.4,12.4,11.66,12.29,41208625.0
2018-05-18,12.32,12.405,11.8018,11.93,29211024.0
2018-05-25,11.99,12.5,11.94,12.3751,21097380.0
2018-06-01,12.16,12.86,12.16,12.79,22953426.0
2018-06-08,12.85,13.25,12.47,12.78,35832899.0
2018-06-15,12.8,13.345,12.65,13.07,27338946.0
2018-06-22,13.0,13.2,12.82,12.86,28042731.0
2018-06-29,13.1,13.555,12.77,13.41,32955934.0
2018-07-06,13.25,13.25,12.26,13.0,19780396.0
2018-07-13,13.0,13.19,12.55,13.18,26639370.0
2018-07-20,13.5,13.5,12.71,13.03,32335726.0
2018-07-27,13.02,13.58,12.92,13.33,31242622.0
2018-08-03,13.38,13.74,13.26,13.69,38415304.0
2018-08-10,13.75,13.995,13.23,13.56,31886360.0
2018-08-17,13.57,13.99,13.35,13.94,26812413.0
2018-08-24,13.94,14.11,13.885,14.01,16718209.0
2018-08-31,14.06,14.25,13.4,13.46,23707136.0
2018-09-07,13.52,13.53,13.08,13.11,26436740.0
2018-09-14,13.18,13.64,13.0,13.55,34079816.0
2018-09-21,13.6,14.01,13.49,13.96,30544438.0
2018-09-28,13.96,14.01,13.0,14.0,26122335.0
2018-10-05,13.95,14.75,13.88,14.75,31908621.0
2018-10-12,14.7,15.11,14.31,14.65,31707102.0
2018-10-19,15.43,15.43,14.71,15.08,30995498.0
2018-10-26,15.02,15.14,14.42,14.55,31281126.0
2018-11-02,14.7,14.85,14.39,14.6,29154843.0
2018-11-09,14.66,16.28,14.62,15.52,34184011.0
2018-11-16,15.46,15.725,15.125,15.51,27556826.0
2018-11-23,15.9,15.9,14.67,15.0,17346253.0
2018-11-30,15.1,15.55,15.04,15.49,26563070.0
2018-12-07,15.51,15.76,15.04,15.53,21097040.0
2018-12-14,15.51,16.33,15.49,15.95,27948269.0
2018-12-21,15.96,15.96,14.26,14.5,49000707.0
2018-12-28,14.16,14.57,13.55,14.27,20966588.0
2019-01-04,14.28,14.81,13.97,14.64,21109162.0
2019-01-11,14.92,15.425,14.54,15.39,18386876.0
