Сделка 501: Открыта 2010-07-08, Закрыта 2010-08-03, PnL=104.89, Return=1469.37%
Сделка 502: Открыта 2010-08-24, Закрыта 2010-09-16, PnL=789.49, Return=11608.37%
Сделка 503: Открыта 2010-09-16, Закрыта 2010-09-20, PnL=479.22, Return=6632.48%
Сделка 504: Открыта 2010-09-16, Закрыта 2010-10-11, PnL=-96.35, Return=-1215.93%
Сделка 505: Открыта 2010-11-29, Закрыта 2010-12-21, PnL=1489.65, Return=20963.28%
Сделка 506: Открыта 2010-11-29, Закрыта 2010-12-22, PnL=-388.81, Return=-4987.68%
Сделка 507: Открыта 2011-03-16, Закрыта 2011-06-16, PnL=42.54, Return=528.60%
Сделка 508: Открыта 2011-03-16, Закрыта 2011-08-03, PnL=263.64, Return=3328.37%
Сделка 509: Открыта 2011-08-08, Закрыта 2011-08-10, PnL=-133.25, Return=-2094.00%
Сделка 510: Открыта 2011-08-19, Закрыта 2011-08-23, PnL=-133.14, Return=-1973.00%
Сделка 511: Открыта 2011-08-25, Закрыта 2011-09-06, PnL=-246.98, Return=-3667.18%
Сделка 512: Открыта 2011-09-22, Закрыта 2011-09-26, PnL=-92.22, Return=-1419.61%
Сделка 513: Открыта 2011-09-30, Закрыта 2011-10-04, PnL=-1066.39, Return=-16619.27%
Сделка 514: Открыта 2011-10-04, Закрыта 2011-10-10, PnL=1315.33, Return=21020.00%
Сделка 515: Открыта 2011-10-10, Закрыта 2011-10-12, PnL=-17.32, Return=-254.72%
Сделка 516: Открыта 2011-10-12, Закрыта 2011-10-17, PnL=6.72, Return=97.79%
Сделка 517: Открыта 2011-10-17, Закрыта 2011-10-24, PnL=1327.63, Return=19540.00%
Сделка 518: Открыта 2011-10-31, Закрыта 2011-11-04, PnL=3355.08, Return=46865.03%
Сделка 519: Открыта 2011-11-22, Закрыта 2011-11-25, PnL=-97.72, Return=-1322.19%
Сделка 520: Открыта 2011-12-16, Закрыта 2012-01-10, PnL=1372.91, Return=18010.00%
Сделка 521: Открыта 2011-12-16, Закрыта 2012-08-24, PnL=-48.10, Return=-635.37%
Сделка 522: Открыта 2011-12-16, Закрыта 2012-09-05, PnL=19.00, Return=253.51%
Сделка 523: Открыта 2011-12-16, Закрыта 2012-09-21, PnL=160.97, Return=2189.63%
Сделка 524: Открыта 2011-12-16, Закрыта 2012-09-27, PnL=11.27, Return=154.91%
Сделка 525: Открыта 2012-11-13, Закрыта 2012-11-15, PnL=-138.76, Return=-2141.00%
Сделка 526: Открыта 2012-11-15, Закрыта 2012-12-03, PnL=1483.04, Return=22929.24%
Сделка 527: Открыта 2012-12-28, Закрыта 2013-01-23, PnL=1039.61, Return=14879.42%
Сделка 528: Открыта 2013-02-14, Закрыта 2013-02-21, PnL=-141.06, Return=-1884.00%
Сделка 529: Открыта 2013-02-22, Закрыта 2013-02-26, PnL=-592.76, Return=-7963.47%
Сделка 530: Открыта 2013-02-26, Закрыта 2013-03-20, PnL=-1314.05, Return=-17081.29%
Сделка 531: Открыта 2013-04-17, Закрыта 2013-04-30, PnL=1389.63, Return=16460.00%
Сделка 532: Открыта 2013-06-20, Закрыта 2013-06-24, PnL=-140.35, Return=-1833.00%
Сделка 533: Открыта 2013-06-24, Закрыта 2013-07-12, PnL=1401.84, Return=18340.00%
Сделка 534: Открыта 2013-09-04, Закрыта 2013-09-26, PnL=1041.92, Return=12313.77%
Сделка 535: Открыта 2013-09-04, Закрыта 2013-10-18, PnL=-219.59, Return=-2349.90%
Сделка 536: Открыта 2013-11-07, Закрыта 2013-11-13, PnL=1423.77, Return=15420.00%
Сделка 537: Открыта 2013-12-13, Закрыта 2014-01-27, PnL=-143.74, Return=-1559.00%
Сделка 538: Открыта 2013-12-13, Закрыта 2014-01-28, PnL=73.55, Return=795.45%
Сделка 539: Открыта 2014-06-12, Закрыта 2014-06-27, PnL=1436.99, Return=14940.01%
Сделка 540: Открыта 2014-10-15, Закрыта 2014-10-31, PnL=1608.90, Return=18601.72%
Сделка 541: Открыта 2014-11-06, Закрыта 2014-12-01, PnL=831.12, Return=9309.49%
Сделка 542: Открыта 2014-11-06, Закрыта 2014-12-16, PnL=-90.53, Return=-1024.25%
Сделка 543: Открыта 2014-12-16, Закрыта 2015-01-13, PnL=207.45, Return=2372.76%
Сделка 544: Открыта 2014-12-16, Закрыта 2015-01-27, PnL=25.48, Return=294.32%
Сделка 545: Открыта 2015-02-17, Закрыта 2015-02-27, PnL=1488.63, Return=18574.02%
Сделка 546: Открыта 2015-03-11, Закрыта 2015-03-13, PnL=-149.06, Return=-1795.00%
Сделка 547: Открыта 2015-03-16, Закрыта 2015-04-06, PnL=1501.32, Return=18154.87%
Сделка 548: Открыта 2015-03-16, Закрыта 2015-08-25, PnL=444.65, Return=5637.75%
